Date,PlayerName,GIDP,playerid,Opp,Team,HomeAway,IP,H,R,ER,HR,BB,IBB,WP,BK,SO
2022-04-14,Sandy Alcantara,1,18684,PHI,MIA,H,6.1,7,2,2,0,1,0,0,0,5
2022-04-20,Sandy Alcantara,1,18684,STL,MIA,H,8,4,0,0,0,1,0,0,0,6
2022-04-26,Sandy Alcantara,2,18684,@WSN,MIA,A,6,6,1,1,0,3,0,0,0,5
2022-04-09,Chris Bassitt,1,12304,@WSN,NYM,A,6,3,0,0,0,1,0,0,0,8
2022-04-26,Chris Bassitt,1,12304,@STL,NYM,A,6,2,0,0,0,3,0,0,0,6
2022-04-12,Shane Bieber,2,19427,@CIN,CLE,A,5.1,2,3,3,0,3,0,0,0,5
2022-04-30,Shane Bieber,1,19427,@OAK,CLE,A,7,7,1,1,1,1,0,0,0,7
2022-04-19,Walker Buehler,1,19374,ATL,LAD,H,5,8,3,3,1,1,0,0,0,2
2022-04-19,Madison Bumgarner,1,5524,@WSN,ARI,A,5,2,2,0,0,4,0,0,0,5
2022-04-24,Madison Bumgarner,1,5524,NYM,ARI,H,5,4,1,0,0,0,0,0,0,4
2022-04-25,Corbin Burnes,1,19361,SFG,MIL,H,6.2,2,0,0,0,2,0,0,0,11
2022-04-08,Gerrit Cole,1,13125,BOS,NYY,H,4,4,3,3,1,1,0,0,0,3
2022-04-24,Gerrit Cole,1,13125,CLE,NYY,H,6.2,4,0,0,0,1,0,0,0,9
2022-04-12,Yu Darvish,1,13074,@SFG,SDP,A,1.2,8,9,9,1,2,0,0,0,2
2022-04-09,Zach Davies,1,13183,SDP,ARI,H,5,4,2,2,0,3,0,0,0,2
2022-04-26,Zach Davies,2,13183,LAD,ARI,H,4,4,3,3,0,4,0,0,0,3
2022-04-25,Nathan Eovaldi,2,9132,@TOR,BOS,A,7,5,2,2,2,0,0,0,0,5
2022-04-22,Chris Flexen,1,13896,KCR,SEA,H,7,6,1,1,1,0,0,0,0,5
2022-04-28,Chris Flexen,1,13896,@TBR,SEA,A,6.2,6,2,2,0,2,0,0,0,4
2022-04-14,Kyle Freeland,2,16256,CHC,COL,H,5.1,9,5,5,1,2,0,0,0,1
2022-04-19,Kyle Freeland,1,16256,PHI,COL,H,5,6,2,2,0,1,0,0,0,3
2022-04-07,Max Fried,1,13743,CIN,ATL,H,5.2,8,5,5,0,1,0,0,0,5
